"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 19 13:02:19 GMT 2025","Mon May 19 13:02:21 GMT 2025","1809","","ui.HomePageTests","","ui.HomePageTests","clasesTest","clasesTest()",""
"passed","Mon May 19 13:02:21 GMT 2025","Mon May 19 13:02:26 GMT 2025","5079","","ui.HomePageTests","","ui.HomePageTests","openAllLinks","openAllLinks()",""
"passed","Mon May 19 13:02:27 GMT 2025","Mon May 19 13:02:28 GMT 2025","518","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 19 13:02:37 GMT 2025","Mon May 19 13:02:37 GMT 2025","694","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","openWebFormTest","openWebFormTest()",""
"passed","Mon May 19 13:02:28 GMT 2025","Mon May 19 13:02:28 GMT 2025","663","","ui.HomePageWithPOMTests","","ui.HomePageWithPOMTests","openHomePageTest","openHomePageTest()",""
"passed","Mon May 19 13:02:28 GMT 2025","Mon May 19 13:02:29 GMT 2025","661","","ui.NavigationTestForPOM","","ui.NavigationTestForPOM","openNavigationFormTest","openNavigationFormTest()",""
"passed","Mon May 19 13:02:31 GMT 2025","Mon May 19 13:02:32 GMT 2025","706","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
"passed","Mon May 19 13:02:26 GMT 2025","Mon May 19 13:02:27 GMT 2025","674","","ui.HomePageTests","","ui.HomePageTests","openWebFormTest","openWebFormTest()",""
"passed","Mon May 19 13:02:30 GMT 2025","Mon May 19 13:02:30 GMT 2025","773","","ui.WebFormTest","","ui.WebFormTest","proverkaTextArea","proverkaTextArea()",""
"passed","Mon May 19 13:02:37 GMT 2025","Mon May 19 13:02:41 GMT 2025","3690","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","submitFormTest","submitFormTest()",""
"broken","Mon May 19 13:02:32 GMT 2025","Mon May 19 13:02:34 GMT 2025","2472","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","proverkaDisabledInput","proverkaDisabledInput()",""
"broken","Mon May 19 13:02:34 GMT 2025","Mon May 19 13:02:37 GMT 2025","2451","","ui.WebFormTestForPOM","","ui.WebFormTestForPOM","proverkaTextArea","proverkaTextArea()",""
"passed","Mon May 19 13:02:29 GMT 2025","Mon May 19 13:02:30 GMT 2025","800","","ui.WebFormTest","","ui.WebFormTest","proverkaDisabledInput","proverkaDisabledInput()",""
"passed","Mon May 19 13:02:30 GMT 2025","Mon May 19 13:02:31 GMT 2025","657","","ui.WebFormTest","","ui.WebFormTest","openWebFormTest","openWebFormTest()",""
